signal,LifeTime,IP,VertexChi2,pt,DOCAone,DOCAtwo,DOCAthree,isolationa,isolationb,isolationc,p0_pt,p1_pt,p2_pt,p0_IP,p1_IP,p2_IP
0,0.0006070297094993293,0.1116233840584755,1.50184965133667,9734.447265625,0.02050466276705265,0.01498596742749214,0.0007526861736550928,1,2,2,3128.722900390625,4926.36376953125,1781.6365966796875,0.29958516359329224,0.15644356608390808,0.1947329342365265
1,0.0010744250612333417,0.09247045964002608,3.431303262710572,3366.93994140625,0.028245335444808006,0.0006223880336619914,0.06765422970056534,3,5,1,616.19189453125,1908.82861328125,1262.2816162109375,0.2724544703960419,0.1305597573518753,0.4885898232460022
1,0.0008241435862146317,0.012017580680549143,0.9158267974853516,6547.0166015625,0.015289176255464554,0.025366432964801792,0.01043061073869467,2,5,2,1458.9996337890625,1685.49462890625,3446.711669921875,0.14249058067798615,0.5271813869476318,0.11413354426622392
0,0.0007686028839088976,0.2247081696987152,2.7027196884155287,3714.435546875,0.0022010696120560174,0.010303545743227005,0.05697706714272499,4,3,4,951.4866333007812,2260.818603515625,810.8157348632812,0.25058552622795105,0.3811888098716736,0.2759754359722137
1,0.0012877250555902722,0.03593314439058304,2.977702379226685,3052.870849609375,0.02728851139545441,0.015482768416404726,0.05450928956270218,1,1,1,993.2432861328124,1195.856689453125,1201.9649658203125,0.6117362380027771,0.15150542557239532,0.4001318514347077
0,0.00038279651198536163,0.2411264777183533,14.75087070465088,3462.739990234375,0.15404990315437314,0.10234702378511427,0.3102053105831146,5,6,3,486.2469787597656,2820.930908203125,544.4805297851561,0.3573310673236847,0.2612921595573425,0.4841060638427734
1,0.000994555070064962,0.05895211920142174,3.575284242630005,2527.577880859375,0.026590555906295776,0.058537039905786514,0.02215972729027272,6,2,3,903.731201171875,1066.8797607421877,986.5939331054688,0.3156421780586243,0.2460765689611435,0.3459368944168091
0,0.0004551812307909131,0.04212447255849838,1.0200139284133911,5346.91162109375,0.003145979717373848,0.030469067394733432,0.0010399632155895233,3,7,5,2207.072998046875,2918.90625,328.0115661621094,0.08367186784744263,0.15630586445331573,0.26666662096977234
0,0.0004946085391566157,0.0913584530353546,6.126951694488525,12881.1357421875,0.08100808411836624,0.017182435840368267,0.07666679471731186,5,1,1,569.4864501953125,1555.66845703125,10806.3271484375,0.31512218713760376,0.18382951617240906,0.1480972021818161
1,0.0015302113024517894,0.3944742977619171,5.0070390701293945,3673.324951171875,0.01820291019976139,0.05499308183789253,0.012984716333448887,1,1,1,509.7353820800781,830.19873046875,2728.1611328125,1.613356351852417,0.2191573977470398,0.2549647092819214
1,0.0008485364378429949,0.03571431338787079,1.2612416744232178,5102.64990234375,0.008223261684179306,0.03396613895893097,0.043080661445856094,2,1,0,1806.2879638671875,2834.709228515625,640.3402099609375,0.3183926045894623,0.06947565823793411,0.4846403896808624
1,0.0010075727477669716,0.07122951745986937,7.427749156951902,3772.37353515625,0.11373825371265413,0.06020689383149148,0.07334048300981523,0,2,0,465.1006164550781,2856.017822265625,664.3721313476562,0.7160378694534302,0.1711539328098297,0.2103661447763443
0,0.0010404218919575212,0.02444157376885414,0.9761619567871094,4155.58251953125,0.03622933849692345,0.02257830090820789,0.04047709330916405,1,3,0,649.9849243164062,3400.775146484375,410.8392333984375,0.5246671438217163,0.15769249200820926,0.3601790964603424
1,0.0011064100544899702,0.057434409856796265,3.5313217639923096,3945.270263671875,0.03623411431908608,0.039566662162542336,0.01143953762948513,1,3,3,840.3931274414062,1219.81591796875,2249.36572265625,0.5571640729904175,0.31211912631988525,0.16107229888439178
1,0.0008907937444746494,0.011633074842393398,2.212553024291992,3661.76513671875,0.024792730808258057,0.030221233144402507,0.0497836284339428,2,2,0,1346.8310546875,2193.249267578125,453.1422729492188,0.12308865040540695,0.14353810250759125,0.575122058391571
0,0.00047922803787514573,0.1253785938024521,3.351714372634888,9642.568359375,0.05144288390874864,0.02377195842564106,0.04118602722883225,3,4,2,1331.542236328125,3678.75830078125,4681.7822265625,0.34555739164352417,0.1332959532737732,0.17465773224830627
1,0.0030670613050460807,0.3429141342639923,7.232178688049316,3932.038330078125,0.01235764380544424,0.028045156970620155,0.11836487799882887,0,3,1,329.1835632324219,3173.326171875,469.8706359863281,0.6435771584510803,0.4827136099338532,3.420513153076172
0,0.0008935524965636432,0.07158127427101135,10.788206100463867,4805.791015625,0.039837364107370384,0.023177821189165115,0.018781010061502457,2,1,1,1208.695068359375,1277.9427490234375,2648.989501953125,0.3835461735725403,0.2319754511117935,0.20053620636463165
1,0.0009297279175370932,0.2512630522251129,0.7211358547210693,2988.5966796875,0.008473402820527555,0.03924281522631645,0.03592927008867264,2,2,2,609.5266723632812,1959.95166015625,655.3258056640625,0.5103025436401367,0.2041509747505188,0.7882971763610841
1,0.0016268471954390409,0.02068052627146244,0.4808074831962586,5823.078125,0.007588990032672881,0.05053045228123665,0.000740210001822561,0,0,0,1853.00341796875,3694.237548828125,463.4524841308594,0.76723313331604,0.2485311329364777,0.5045521259307861
0,0.0008367288392037152,0.13510581851005554,9.405620574951172,13714.4521484375,0.021251637488603592,0.026819104328751564,0.00021259246568661183,2,1,2,544.883056640625,9706.91015625,3544.875732421875,0.8210220932960509,0.2654235064983368,0.06619884073734282
1,0.001226378371939063,0.050843924283981316,0.8812732100486755,4836.73681640625,0.01899711042642593,0.012303881347179413,0.020859356969594955,1,4,1,1325.41943359375,2916.969970703125,662.32421875,0.3161810338497162,0.3608415722846985,0.4733108878135681
1,0.0006683706887997688,0.003316015237942338,4.443495273590088,4023.58203125,0.028866255655884743,0.05041489377617836,0.04866400733590126,1,0,2,1289.2218017578125,1667.9554443359375,1349.3756103515625,0.26156264543533325,0.19484998285770416,0.1346837729215622
0,0.0004515093169175088,0.07670488953590393,1.9922934770584104,4214.482421875,0.02375227771699429,0.012238399125635624,0.021998271346092224,5,1,4,1543.715087890625,2364.303955078125,466.6314392089844,0.1712099313735962,0.12232290208339693,0.2564394474029541
1,0.000998292351141572,0.05484623089432717,2.0022242069244385,5387.7412109375,0.03760259598493576,0.011749435216188427,0.042213782668113715,1,1,1,402.5222473144531,2149.837890625,3089.8955078125,0.678244411945343,0.21367791295051566,0.2531085908412933
1,0.0016980607761070132,0.06848905980587006,13.099981307983398,3589.927734375,0.04521491378545761,0.07937515527009964,0.004332727286964655,4,4,5,375.1549987792969,2840.239013671875,494.6770935058594,0.6146685481071472,0.40826091170310974,0.17679746448993686
1,0.001136580016463995,0.0342956967651844,8.889824867248535,5084.58203125,0.02930569648742676,0.006639048922806978,0.050237786024808884,4,5,1,1604.3916015625,2263.84423828125,1232.449462890625,0.21805644035339355,0.29742953181266785,0.4418975710868835
1,0.0006500189192593098,0.06913787126541138,12.890124320983887,2861.4091796875,0.3098004162311554,0.2376026213169098,0.06656795740127562,3,0,2,328.8259582519531,625.7863159179688,2164.76611328125,0.4535278379917145,0.3036245107650757,0.1341678947210312
1,0.0011047861771658065,0.006701603531837463,7.231934547424316,3388.654296875,0.02388266660273075,0.04261274263262749,0.09284719824790956,0,2,0,1003.5806274414062,1783.0384521484375,693.0882568359375,0.3634224236011505,0.2626398205757141,0.3443186283111572
0,0.0006202987860888243,0.13655449450016022,5.290446758270264,1695.0491943359375,0.12423883378505708,0.043559137731790536,0.03170979768037796,7,5,7,661.8635864257812,1043.3402099609377,572.4249267578125,0.1866136342287064,0.1795743703842163,0.33377039432525635
1,0.0006008156924508513,0.030410360544919968,3.792267322540283,5578.060546875,0.0018522808095440266,0.005036559421569109,0.03085786290466785,0,0,5,983.6624145507812,1758.1768798828125,2887.874755859375,0.12698599696159366,0.12273209542036055,0.24769219756126404
1,0.0008974387310445309,0.04388485476374626,1.8690509796142576,3046.564453125,0.023716283962130547,0.03744487836956978,0.028838830068707463,1,1,0,1131.7757568359375,1741.641845703125,400.3423767089844,0.0918426513671875,0.2914822697639465,0.374855637550354
